Inquiries_English,Main_Topic,Sub_Topic,Sub_Topic_English,Sub_Topic_Question,Established_Response,Established_Response_Tagalog
My employer and agency  said that I should pay for my plane ticket. Is this correct?,Sahod o Wages,Kompensasyon at Mga Benepisyo,Compensation and Benefits,"Sabi ng amo ko at agency dito, na dapat ko daw bayaran ang plane ticket ko,tama po ba ito?","According to the POEA Standard Employment Contract for Filipino Household Service Workers (HSWs) Bound for the Kingdom of Saudi Arabia (2013) there is free transportation to the site of employment and back to the point of origin upon expiration of contract and ensure the worker’s timely repatriation. In case, of termination for reason not attributable to the worker, the employer shall bear the cost of repatriation of the worker to the Philippines."," Ayon sa kontrata ng POEA Standard Employment para sa Filipino Household Service Workers (HSWS) na nakatali para sa Kaharian ng Saudi Arabia (2013):

""Libreng transportasyon sa site ng trabaho at pabalik sa pinagmulan sa upon expiration ng kontrata at tiyakin ang pagbalik or pag-uwi ng manggagawa. Sa kaso ng termination para sa kadahilanan na hindi maiuugnay sa manggagawa, ang employer ay dapat gumastos ng pagpapabalik ng manggagawa sa Pilipinas. """
,Sahod o Wages,Kompensasyon at Mga Benepisyo,Compensation and Benefits,Sino ang magbabayad para sa aking airfare kung ako ay terminate?,"In case the insured OFW was terminated by his/her employer without any valid cause, or the employee resigns with valid cause, the actual cost of transportation (air fare only) is covered by the Agency-Hired OFW Compulsory Insurance. The proceeds of this benefit go directly to the agency to reimburse the cost of oneway plane ticket back to the Philippines.

To know further, kindly see- https://dmw.gov.ph/archives/laws&rules/files/Insurance_OFW%20FAQs.pdf
","Kung sakali na naterminate ang OFW ng kanyang employer nang walang valid na dahilan, o ang empleyado ay nagbitiw na may valid cause, ang aktuwal na gastos sa transportasyon (air fare lamang) ay covered ng Agency-Hired OFW Compulsory Insurance. Ang benepisyo na ito ay diretso sa ahensya upang mabayaran ang gastos ng isang ticket ng eroplano na pabalik sa Pilipinas.

Upang malaman pa ang ibang impormasyon, tingnan ang lnk na ito - https://dmw.gov.ph/archives/laws&rules/files/insurance_ofw%20faqs.pdf "
My employer is not giving me food. Is the food allowance included in the contract?,Sahod o Wages,Kompensasyon at Mga Benepisyo,Compensation and Benefits,"Hindi ako binibigyan ng pagkain ng amo ko, ang food allowance ba ay included sa kontrata?","According to the POEA Standard Employment Contract for Filipino Household Service Workers (HSWs) Bound for the Kingdom of Saudi Arabia (2013) :

“ The employer shall provide the household service worker suitable and sanitary living quarters as well as adequate food or equivalent monetary allowance”
","Ayon sa kontrata ng POEA Standard Employment para sa Filipino Household Service Workers (HSWs) na nakatali para sa Kaharian ng Saudi Arabia (2013):

""Ang employer ay dapat magbigay sa manggagawa ng angkop at sanitary living quarters pati na rin ang sapat na pagkain o katumbas na monetary allowance."""
Where is the embassy and MWO/POLO located?,Sahod o Wages,Migrant Workers Office (dating POLO),Migrant Workers Office (formerly POLO),Saan ang embassy at MWO/POLO?,"To find the nearest MWO/POLO in your area, please click on this link for the directory: Directory of Overseas Posts - https://owwa.gov.ph/wp-content/uploads/2022/09/DIRECTORY-OF-OVERSEAS-POSTS-For-Dissemination.pdf. Look for the country and location where you are working.","Upang mahanap ang pinakamalapit na MWO/POLO sa iyong lugar, mangyaring mag-click sa link na ito para sa direktoryo: 

Direktoryo ng mga post sa ibang bansa - https://owwa.gov.ph/wp-content/uploads/2022/09/directory-of-overseas-Posts-for-dissemination.pdf 

Maghanap para sa bansa at lokasyon kung saan ka nagtatrabaho."
"What does ""quit claim"" mean?",Sahod o Wages,Pangkalahatang Impormasyon,General Information,Ano ang ibig sabihin ng quit claim?,"When employees receive their final pay, they are typically asked to sign a release and quitclaim form. This form is a formal agreement indicating that the employee has received all owed compensation and waives any future claims against the employer.
REMEMBER, only sign a quit claim if all unpaid salary and other unsettled money claims have been provided to you by your employer or recruitment agency. Signing the quit claim should be done at the POLO/MWO to ensure that your rights are protected and the process follows proper legal procedures. This also ensures that all claims are appropriately addressed and there will be no issues in the future.
","Kapag natanggap ng empleyado ang kanyang sweldo, karaniwang hinihiling silang mag-sign ng isang quit claim form. Ang form na ito ay isang pormal na kasunduan na nagpapahiwatig na ang empleyado ay nakatanggap ng lahat ng kabayaran at tinanggihan ang anumang mga paghahabol sa hinaharap laban sa employer.

Tandaan, mag-sign lamang ng isang quit claim kung naibigay na ang lahat ng unpaid na suweldo at iba pang hindi naibigay ng iyong employer o recruitment agency. Ang pag-sign sa quit claim ay dapat gawin sa POLO/MWO upang matiyak na protektado ang iyong mga karapatan at ang proseso ay sumusunod sa wastong mga ligal na pamamaraan. Tinitiyak din nito na ang lahat ng mga claims ay natugunan para walang mangyayaring paghahabol sa hinaharap."
"What does ""SENA"" mean?",Sahod o Wages,Pangkalahatang Impormasyon,General Information,Ano ang ibig sabihin ng SENA?,"Civil cases are initially processed through the Single Entry Approach (SEnA) for mandatory conciliation before proceeding to the National Labor Relations Commission (NLRC) or courts. This report focuses on money claims filed by OFWs, such as for unpaid wages and contract violations. These claims, categorized as civil cases, seek compensation for issues like employer abuse, wage non-payment, illegal contract termination, and excessive agency fees. Such claims can be filed in the Philippines against recruitment agencies under joint and solidary liability.","Ang mga kasong sibil (civil case) ay dumadaan sa Single Entry Approach (SENA) kung saan sumasailalim sa mandatory conciliation bago magpatuloy sa National Labor Relations Commission (NLRC) o mga korte. Ang proseso na ito ay patungkol sa mga paghahabol sa pera na isinampa ng OFW, tulad ng para sa hindi bayad na sahod at paglabag sa kontrata. Ang mga claims na ito na ikinategorya bilang mga kaso ng sibil, ay humihingi ng kabayaran para sa mga reklamo tulad ng pang-aabuso ng employer, hindi pagbabayad ng sweldo, illegal termination ng kontrata, at labis na pagbabayad ng placement fee. Ang mga claims na ito ay maaaring isampa sa Pilipinas laban sa mga recruitment agency sa ilalim ng Joint and Solidary Liability."
"My agency in the Philippines has already closed, who can I file a complaint with?",Sahod o Wages,Pag-aabuso at Pag-uulat,Abuse and Reporting,"Sarado na po ang agency ko sa pinas, sino po ang maaaring ireklamo?","First, kailangan mo na i-check sa Department of Migrant Workers website https://dmw.gov.ph/licensed-recruitment-agencies sa status of the recruitment agency, whether it is licensed, suspended, permanently banned, or closed.

If your recruitment agency has closed and you need to file a complaint related to OFWs, direct it to the Department of Migrant Workers (DMW) in the Philippines. Find the complaints or legal assistance section (https://dmw.gov.ph/archives/AssistWELL/categ/legal.htm). Lastly, follow the instructions to file your complaint, including filling out forms and submitting evidence like contracts, receipts, and communication records.
","Una, kailangan mo na i-check sa Department of Migrant Workers Website https://dmw.gov.ph/licensed-recruitment-agencies - ang katayuan/status ng recruitment agency, kung ito ay lisensyado, nasuspinde, permanenteng ipinagbawal, o sarado.

Kung ang iyong ahensya ay nagsara at kailangan mong mag-file ng isang reklamo, idirekta ito sa Kagawaran ng Migrant Workers (DMW) sa Pilipinas. Hanapin ang seksyon ng mga reklamo o ligal na tulong (https://dmw.gov.ph/archives/assistwell/categ/legal.htm). Panghuli, sundin ang mga tagubilin upang mag-file ang iyong reklamo, kabilang ang pagsagot/fill out ng mga form at pagsusumite ng katibayan tulad ng mga kontrata, resibo, at mga communication records."
"I am undocumented, how can I ask for help?",Sahod o Wages,Pag-aabuso at Pag-uulat,Abuse and Reporting,Undocumented po ako paano po ako makakahingi ng tulong?,"Both documented and undocumented Overseas Filipino Workers (OFWs) can ask for help from the Migrant Workers Office (MWO) or Philippine Overseas Labor Office (POLO).
To find the nearest MWO/POLO in your area, please click on this link for the directory: https://owwa.gov.ph/wp-content/uploads/2022/09/DIRECTORY-OF-OVERSEAS-POSTS-For-Dissemination.pdf .Look for the country and location where you are working.
","Para sa dokumentado at undocumented na OFW sa ibang bansa, maaaring humingi ng tulong mula sa Migrant Workers Office (MWO).

Upang mahanap ang pinakamalapit na MWO/POLO sa iyong lugar, mangyaring mag-click sa link na ito para sa direktoryo: https://owwa.gov.ph/wp-content/uploads/2022/09/directory-of-overseas-posts-for-Dissemination.pdf. Hanapin ang bansa at lokasyon kung saan ka nagtatrabaho."
"I have returned to the Philippines, how do I file a complaint against my recruitment agency?",Repatriation,Pagpapauwi at Pagfile ng mga Reklamo,Repatriation and Complaints,"Nakauwi na po ako pinas, paano mag-file ng reklamo sa akin recruitment agency?","To file a complaint against your recruitment agency as an Overseas Filipino Worker (OFW), follow these steps with the Department of Migrant Workers (DMW):
1.        Visit the DMW Website: https://dmw.gov.ph/
2.        Access the Complaints Section: https://dmw.gov.ph/archives/AssistWELL/categ/legal.htm
3.        Gather Documents: Collect your employment contract, receipts, communication records, and other relevant evidence.
4.        Fill Out Forms: Complete the complaint forms on the DMW website, at the DMW office, or at OWWA regional welfare office  - kindly click this link to locate the nearest office the https://owwa.gov.ph/wp-content/uploads/2022/08/RWOs-Directory-as-of-08262022-2.pdf
5.        Submit Your Complaint: Follow the instructions to submit your complaint online or in person with all required documents.
6.        Follow Up: Regularly check the status of your complaint and provide any additional information if requested.
","Bisitahin ang website ng DMW: https://dmw.gov.ph/ 

I -access ang seksyon ng mga reklamo: https://dmw.gov.ph/archives/assistwell/categ/legal.htm 

Siguraduhin na dala mo ang mga importanteng dokumento o ebidensya katulad ng mga sumusunod: kontrata, payslips o anumang record ng sahod mo, chats o messages mula sa employer o recruitment agency at iba pang nauugnay na katibayan.

Kumpletuhin at sagutan ang mga forms ng pagfile ng mga reklamo sa website ng DMW, sa tanggapan ng DMW, o sa OWWA Regional Welfare Office - i-click ang link na ito upang malaman ang pinakamalapit na tanggapan ng https://owwa.gov.ph/wp-c-content/uploads/2022/08/rwos-directory-as-of-08262022-2.pdf 

Isumite ang iyong reklamo at sundin ang mga hakbang sa pagfile ng mga iyong reklamo sa online o sa opisina ng OWWA o DMW.

Huwag kalimutan na kunin ang pangalan ng case officer na tumanggap ng form at contact number ng opisina ng OWWA dahil sa mga susunod na araw kailangan mong tumawag at i-monitor ang status ng inyong reklamo."
What is SENA?,Repatriation,Mga Proseso ng SENA,SENA Procedures,Ano ang SENA?,"Civil cases are initially processed through the Single Entry Approach (SEnA) for mandatory conciliation before proceeding to the National Labor Relations Commission (NLRC) or courts. This report focuses on money claims filed by OFWs, such as for unpaid wages and contract violations. These claims, categorized as civil cases, seek compensation for issues like employer abuse, wage non-payment, illegal contract termination, and excessive agency fees. Such claims can be filed in the Philippines against recruitment agencies under joint and solidary liability.","SENA o Single Entry Approach ay tumutukoy sa isang administratibong pamamaraan na naglalayong magbigay ng mabilis, patas, mura, at madaling ma-access na proseso ng pagresolba sa lahat ng isyu o reklamo sa agency na nasa Pilipinas. 

Ito ay under ng  joint and solidary liability na nangangahulugang parehong ang recruitment agency at ang foreign employer ay pwedeng managot sa anumang claim or mga reklamo ng isang OFW, ayon sa Rules to Implement the Labor Code at Migrant Workers and Overseas Filipinos Act of 1995 (Republic Act No. 8042)."
What do I need to bring to SENA?,Repatriation,Mga Proseso ng SENA,SENA Procedures,Paano magfile ng complaint para sa SENA?,"To find out what to bring to the Single Entry Approach (SENA), visit this website and avail of the legal assistance service of the Department of Migrant Workers (DMW):  https://dmw.gov.ph/archives/AssistWELL/categ/legal.htm","Upang malaman kung anu-ano ang mga pangunahing hakbang para sa SENA, bisitahin ang website ng DMW (Department of Migrant Workers): https://dmw.gov.ph/archives/assistwell/categ/legal.htm "
Can I bring a lawyer to SENA?,Repatriation,Mga Proseso ng SENA,SENA Procedures,Pwede ba magsama ng lawyer sa SENA?,"Yes, a lawyer can accompany you during the Single Entry Approach (SENA) process as an Overseas Filipino Worker (OFW). However, it is important to note that SENA is designed to be a simplified and non-litigious process aimed at facilitating the resolution of labor disputes. Legal representation is allowed, but it is not mandatory, and the presence of a lawyer may be more common in more complex cases.","Oo, ang isang abogado ay maaaring samahan ka sa SENA. Gayunpaman, mahalagang tandaan na ang SENA ay idinisenyo upang maging isang pinasimple ang proseso na naglalayong mapadali ang paglutas ng mga hindi pagkakaunawaan ng employer or recruitment agency at ng OFW. Pinapayagan ang ligal na representasyon, ngunit hindi ito sapilitan, at ang pagkakaroon ng isang abogado ay maaaring maging mas karaniwan sa mas kumplikadong mga kaso."
What is a money claim?,Repatriation,Money Claims o Mga hindi nabayarang sahod at mga danyos,Money Claims,Ano ang money claims?,"Money claim a demand for payment of a sum of money, reimbursement or compensation",Ang money claims ay tumutukoy sa pera o kabayaran na maaaring i-demand isang manggagawa  sa mga isyu tulad ng hindi nabayarang sahod at danyos. Ang National Labor Relations Commission (NLRC) ang humahawak ng mga kasong ito at ang mga recruitment agency ay dapat managot at may insurance para sa mga ganitong claim.
Where can i file money claim?,Repatriation,Money Claims o Mga hindi nabayarang sahod at mga danyos,Money Claims,Saan ako pwede magfile ng money claims?,This needs to be updated by CMA.,"Ang humihiling na partido ay maaaring maghain ng kanilang kahilingan or reklamo sa National Labor Relations Commission (NLRC) Central Office or mga Regional Arbitration Branch nito. Para sa Online na paghahain, maaaring maghain sa pamamagitan ng kani-kanilang website ng mga nagpapatupad na opisina/ahensiya (https://nlrc.dole.gov.ph/Node/view/TlYwMDAxOA)"
I did not finish my contract with my employer because of the abuse. what to do?,Sahod o Wages,Pag-aabuso at Pag-uulat,Abuse and Repatriation,Hindi ko natapos ang kontrata ko sa aking employer dahil sa pang aabuso. ano ang gagawin?,"1. Document the events: Write or record the details of the abuse you experienced. Enter dates, times, and events in detail. 2. If you have a legitimate basis, you can submit a complaint to the Department of Migrant Workers (DMW) You must submit all documents and evidence that can prove your complaint. 3. Contact a lawyer who specializes in labor law. A lawyer can give you legal advice and help with next steps. 4. You can file a complaint against your employer at the DMW for disciplinary action against employer or (DAE)","1. **I-dokumento ang mga kaganapan:** isulat o itala ang mga detalye ng pang -aabuso na iyong naranasan. Ipasok nang detalyado ang mga petsa, oras, at mga kaganapan.

2. **Kung mayroon kang isang lehitimong batayan,** maaari kang magsumite ng isang reklamo sa Department of Migrant Workers (DMW) dapat mong isumite ang lahat ng mga dokumento at katibayan na maaaring patunayan ang iyong reklamo.

3. **Makipag-ugnay sa isang abogado na dalubhasa sa batas sa paggawa.** Ang isang abogado ay maaaring magbigay sa iyo ng ligal na payo at tulong sa mga susunod na hakbang.

4. **Maaari kang mag-file ng isang reklamo laban sa iyong employer sa DMW** para sa disiplina na aksyon laban sa employer o (DAE)."
What is the process for filing money claims with the NLRC,Repatriation,Money Claims o Mga hindi nabayarang sahod at mga danyos,Money Claims,Ano ang proseso sa pagfile ng money claims sa NLRC?,Center for Migrant Answer to include answer for this question.,"**PROSESO SA PAG FILE NG LABOR CASE SA NLRC**

1. Pumunta sa NLRC at mag fill-up ng complaint form. Wala itong bayad at hindi pa kailangan ng abogado.

2. Papadalhan ng Arbiter ng notice o summons ang employer/kumpanya/ahensiya.

3. .Pagkatanggap ng employer/kumpanya/agency ng notice o summons, oorderan ng Arbiter ng mandatory mediation-concilitaion conference para magkaharap ang magkabilang panig. Kung walang amicable settlement or pagkakasundo matapos ang conciliation ang parehong panig, oorderan na mag sumite ng Position Paper (kailangan na ng abogado dito)

4. Kung nais magkasundo para iatras ang kaso, kailangan magsumite ng mosyon para i-set ang kaso para sa mediation. 

5. Kung magkasundo, dapat mag sumite ng notaryadong Compromise Agreement at Quitclaim, Release and Waiver (kailangan ng abogado)."
What is the prescriptive period og money claims,Repatriation,Money Claims o Mga hindi nabayarang sahod at mga danyos,Money Claims,Ano ang prescriptive period ng money claims?,prescriptive period for filing a claim is three years from the date the cause of action accrued,Ang prescriptive period sa sa pag-file ng money claims ay tatlong taon mula sa petsa na nagumpisa ang problema.
What is a joint and solidary liability,Repatriation,Money Claims o Mga hindi nabayarang sahod at mga danyos,Money Claims,Ano ang joint and solidary liability?,"as a private employment agency, such agencies must “assume joint and solidary liability with the employer for all claims and liabilities which may arise in connection with the implementation of the contract, including but not limited to payment of wages, death and disability, compensation and repatriation","Ang Joint and Solidary Liability ay nangangahulugang parehong recruitment agency at foreign employer ang pwedeng managot sa mga reklamo ng isang overseas Filipino worker. Ibig sabihin, pwedeng humingi ng kabayaran ang mga manggagawa sa alinman sa kanila para sa mga isyu tulad ng hindi nabayarang sahod o paglabag sa kontrata. Ito ay nakasaad sa mga batas ng Pilipinas, partikular sa Migrant Workers and Overseas Filipinos Act of 1995 (Republic Act No. 8042)."
What is the Compulsory Insurance Coverage for Agency-Hired Migrant Workers?,Repatriation,Compulsory Insurance Coverage for Agency-Hired Migrant Workers,Insurance Coverage,Ano ang Compulsory Insurance Coverage for Agency-Hired Migrant Workers?,"The Agency-Hired OFW Compulsory Insurance or the Compulsory Insurance Coverage for Agency-Hired Migrant Workers, is an insurance mechanism made available by the law to provide insurance protection for the OFWs.","**Kahulugan at Saklaw:** Ang Agency-Hired OFW Compulsory Insurance ay nagbibigay ng mandatoryong insurance coverage para sa mga agency-hired na overseas Filipino workers (OFWs), pero optional ito para sa direct-hired o re-hired na OFWs.

**Mga Benepisyo:** Kasama sa insurance ang mga benepisyo tulad ng accidental death (USD 15,000), natural death (USD 10,000), permanent total disablement (USD 7,500), repatriation costs, subsistence allowance (USD 100/buwan para sa anim na buwan), money claims (hanggang USD 1,000/buwan para sa tatlong buwan bawat taon), compassionate visit, medical evacuation, at medical repatriation.

**Proseso ng Pag-claim:** Para mag-file ng claim, kailangang kontakin ng OFW o ng kanilang beneficiary ang insurance provider, punan ang claim form, at isumite ang mga kinakailangang dokumento. Ang recruitment agency ang may responsibilidad na tumulong sa prosesong ito.

**Batayang Legal:** Ang insurance ay itinakda ng Migrant Workers and Overseas Filipinos Act of 1995 (Republic Act No. 8042) at mga susog nito, na nagtitiyak ng proteksyon at benepisyo para sa mga OFW.

**Karagdagang Probisyon:** Sakop ng insurance ang iba’t ibang sitwasyon tulad ng illegal termination, hindi pagbabayad ng sahod, pagmamaltrato, at hindi magandang kondisyon sa trabaho. Hindi nito saklaw ang repatriation dahil sa mga digmaan o personal na isyu tulad ng homesickness.

**Para sa karagdagang kaalaman maaaring i-click ang DMW website:** https://dmw.gov.ph/archives/laws&rules/files/Insurance_OFW%20FAQs.pdf "
What if the recruitment agency is no longer responding or could not be located?,Repatriation,Compulsory Insurance Coverage for Agency-Hired Migrant Workers,Insurance Coverage,Paano kung ang recruitment agency ay hindi na tumutugon o hindi mahanap?,"First search in the DMW website (https://dmw.gov.ph/licensed-recruitment-agencies)  to verify if your recruitment agency is still active. 

Next, contact them or look for their alternative numbers. You can also check in the insurance provider’s website the status of your insurance to see if your employer had been paying the insurance. Then inform the insurance provider. 

If you need further help on this you may reach out to CMA caseworker: (https://www.facebook.com/centerformigrantadvocacyph) ","First search in the DMW website (https://dmw.gov.ph/licensed-recruitment-agencies) to verify if your recruitment agency is still active. 

Next, contact them or look for their alternative numbers. You can also check in the insurance provider’s website the status of your insurance to see if your employer had been paying the insurance. Then inform the insurance provider. 

If you need further help on this you may reach out to CMA caseworker: (https://www.facebook.com/centerformigrantadvocacyph) "
,Sahod o Wages,Migrant Workers Office (dating POLO),Migrant Workers Office (formerly POLO),May immediate access ka ba sa pinakamalapit na embahada o konsulado ng Pilipinas?,You may access list of Foreign Service Posts - https://dfa.gov.ph/about/dfa-directory/our-foreign-service-posts-dfa,Maaaring i-click Foreign Service Posts website: https://dfa.gov.ph/about/dfa-directory/our-foreign-service-posts-dfa
,Repatriation,OWWA Programs and Services,OWWA Programs and Services,Gusto mo bang malaman ang support services na ibinibigay ng OWWA?,"**Social Benefits:** Disability, death, and burial assistance.
**Education and Training:** Scholarships, skills training, and competency assessments.
**Reintegration Programs:** Livelihood assistance and financial literacy.
**Welfare Programs:** On-site services for OFWs, crisis intervention, and repatriation assistance.
**Para sa karagdagang kaalaman maaaring i-click OWWA website: (https://owwa.gov.ph/) **","**Social Benefits:** Disability, death, and burial assistance.

**Education and Training:** Scholarships, skills training, and competency assessments.

**Reintegration Programs:** Livelihood assistance and financial literacy.

**Welfare Programs:** On-site services for OFWs, crisis intervention, and repatriation assistance.

**Para sa karagdagang kaalaman maaaring i-click OWWA website:**(https://owwa.gov.ph/)"
,Sahod o Wages,Migrant Workers Office (dating POLO),Migrant Workers Office (formerly POLO),Kailangan mo ba ng contact information para sa mga opisina ng MWO?,"
DMW HOTLINES 24/7
8-722-1144
8-722-1155","DMW Hotlines 24/7:

**8-722-1144**

**8-722-1155**"
